No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
103595,Cerastium fontanum Baumg.,Cerastium fontanum,Caryophyllaceae,*,*,*,I,3,2,4
104200,Cerastium latifolium L.,Cerastium latifolium,Caryophyllaceae,,,*,I,3,5,2
105400,Cerastium uniflorum Clairv.,Cerastium uniflorum,Caryophyllaceae,,,*,I,3,2,2
106100,Chaenorrhinum minus (L.) Lange,Chaenorrhinum minus,Plantaginaceae,,*,*,I,2.5,4,4
106700,Chaerophyllum hirsutum L.,Chaerophyllum hirsutum,Apiaceae,,*,*,I,3.5,4,4
108200,Chelidonium majus L.,Chelidonium majus,Papaveraceae,*,*,*,I,3,4,4
108300,Chenopodium album L.,Chenopodium album,Amaranthaceae,,*,*,ARCH,2,3,4
108500,Chenopodium bonus-henricus L.,Chenopodium bonus-henricus,Amaranthaceae,,,*,I,2,3,5
112500,Chrysosplenium alternifolium L.,Chrysosplenium alternifolium,Saxifragaceae,,*,*,I,4.5,4,3
112800,Cicerbita alpina (L.) Wallr.,Cicerbita alpina,Asteraceae,,,*,I,4,3,4
113200,Cichorium intybus L.,Cichorium intybus,Asteraceae,*,*,*,ARCH,2.5,4,3
113500,Circaea lutetiana L.,Circaea lutetiana,Onagraceae,,*,*,I,3.5,4,4
113800,Cirsium arvense (L.) Scop.,Cirsium arvense,Asteraceae,,*,*,I,3,3,4
114800,Cirsium oleraceum (L.) Scop.,Cirsium oleraceum,Asteraceae,,*,*,I,4,4,4
115300,Cirsium spinosissimum (L.) Scop.,Cirsium spinosissimum,Asteraceae,,,*,I,3.5,3,4
116400,Clematis vitalba L.,Clematis vitalba,Ranunculaceae,*,*,*,I,3,4,3
117200,Coeloglossum viride (L.) Hartm.,Coeloglossum viride,Orchidaceae,,,*,I,3,3,2
117700,Colchicum autumnale L.,Colchicum autumnale,Colchicaceae,*,*,*,I,3,4,3
118700,Consolida regalis Gray,Consolida regalis,Ranunculaceae,,,*,ARCH,2.5,4,3
118800,Convallaria majalis L.,Convallaria majalis,Asparagaceae,*,*,*,I,2.5,3,2
118900,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae,*,*,*,ARCH,2.5,4,4
119600,Cornus mas L.,Cornus mas,Cornaceae,,,*,I,2.5,4,3
119700,Cornus sanguinea L.,Cornus sanguinea,Cornaceae,*,*,*,I,3,4,3
121600,Corylus avellana L.,Corylus avellana,Betulaceae,*,*,*,I,3,3,3
121800,Cotoneaster integerrimus Medik.,Cotoneaster integerrimus,Rosaceae,,,*,I,1.5,4,2
122200,Crataegus laevigata (Poir.) DC.,Crataegus laevigata,Rosaceae,,*,*,I,3.5,3,3
122400,Crataegus monogyna Jacq.,Crataegus monogyna,Rosaceae,*,*,*,I,3,4,3
123000,Crepis aurea (L.) Cass.,Crepis aurea,Asteraceae,,,*,I,3,3,4
123100,Crepis biennis L.,Crepis biennis,Asteraceae,*,*,*,I,3,3,4
123400,Crepis capillaris Wallr.,Crepis capillaris,Asteraceae,,*,*,I,2.5,3,3
125800,Crocus albiflorus Kit.,Crocus albiflorus,Iridaceae,,,*,I,3,4,4
126300,Cruciata laevipes Opiz,Cruciata laevipes,Rubiaceae,,*,*,I,3,3,3
127800,Cuscuta epithymum (L.) L.,Cuscuta epithymum,Convolvulaceae,,,*,I,2.5,4,2
128600,Cymbalaria muralis G. Gaertn. & al.,Cymbalaria muralis,Plantaginaceae,*,*,*,I,3.5,4,3
129400,Cynosurus cristatus L.,Cynosurus cristatus,Poaceae,,*,*,I,3,3,3
130400,Cypripedium calceolus L.,Cypripedium calceolus,Orchidaceae,*,*,*,I,3,4,2
130700,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis,Cystopteridaceae,,,*,I,3.5,4,2
